,sequence_no,SmokedAtLeast100CigarettesInLife,CurrentCigaretteSmoking,CigarettesSmokedDays_30Days,CigarettesPerDayOnSmokingDays_30Days,SmokingTypeMenthol
count,9015.0,8135.0,3243.0,273.0,1185.0,1175.0
mean,136359.32368275098,1.6116779348494161,2.3395004625346902,12.728937728937728,18.99831223628692,0.414468085106383
std,3442.7854562472016,0.5581823785857294,0.9008889281210051,14.66236947586724,86.34355480641568,0.6533585376081116
min,130378.0,1.0,1.0,5.397605346934028e-79,1.0,5.397605346934028e-79
25%,133378.5,1.0,1.0,3.0,5.0,5.397605346934028e-79
50%,136392.0,2.0,3.0,10.0,10.0,5.397605346934028e-79
75%,139327.0,2.0,3.0,20.0,20.0,1.0
max,142310.0,9.0,3.0,99.0,999.0,9.0
