,sequence_no,DifficultySeeing_Level,DifficultyHearing_Level,EquipmentForWalking,DifficultyWalkingWithoutAssistance_Level,DifficultyWalkingComparedToPeers_Level
count,10942.0,2787.0,2787.0,2787.0,22.0,2765.0
mean,136360.41107658565,1.186221743810549,1.064226767133118,1.9946178686759957,2.772727272727273,1.0513562386980109
std,3438.463283986315,0.5258401526155766,0.38618619006469884,0.15954807410469374,0.8691439785278705,0.35109267833280294
min,130378.0,1.0,1.0,1.0,2.0,1.0
25%,133384.25,1.0,1.0,2.0,2.0,1.0
50%,136371.5,1.0,1.0,2.0,2.5,1.0
75%,139332.75,1.0,1.0,2.0,3.75,1.0
max,142310.0,9.0,9.0,9.0,4.0,9.0
